term,category,tier,fp2_past_hits,fp3_past_hits,short_def,exclude_reason,audit_note
PBR（株価純資産倍率）,金融資産運用,A,0,13,株価を1株当たり純資産で割った指標。1倍割れは解散価値を下回る状態。,FP2未出・中核外,FP3過去問に13回（FP2未出）
PER（株価収益率）,金融資産運用,A,0,15,株価を1株当たり純利益で割った指標。株価の割高・割安の判断に使う。,FP2未出・中核外,FP3過去問に15回（FP2未出）
ROE（自己資本利益率）,金融資産運用,A,0,5,純利益を自己資本で割った指標。企業の収益性を示す。,FP2未出・中核外,FP3過去問に5回（FP2未出）
みなし相続財産,相続・事業承継,B,0,0,民法上は相続財産ではないが、相続税の課税対象となる財産。生命保険金・死亡退職金などが該当。,FP2未出・中核外,過去問未出（範囲内の基礎語として B 維持）
クーリング・オフ,ライフプランニングと資金計画,B,0,1,契約後一定期間内であれば無条件で契約を解除できる制度。,FP2未出・中核外,FP3過去問に1回（FP2未出）
セルフメディケーション税制,タックスプランニング,B,0,1,特定の市販薬購入費が年間1.2万円を超えた場合に、超過分を控除できる特例（医療費控除の特例）。,FP2未出・中核外,FP3過去問に1回（FP2未出）
ドルコスト平均法,金融資産運用,A,0,2,一定金額を定期的に購入し続けることで、平均取得単価を抑える投資方法。,FP2未出・中核外,FP3過去問に2回（FP2未出）
不動産の賃貸借,不動産,B,0,0,貸主と借主の間で不動産を使用・収益させる契約。借地借家法が適用される。,FP2未出・中核外,過去問未出（範囲内の基礎語として B 維持）
不動産鑑定評価,不動産,B,0,0,不動産の経済価値を専門家（不動産鑑定士）が判定すること。,FP2未出・中核外,過去問未出（範囲内の基礎語として B 維持）
事業承継税制,相続・事業承継,B,0,0,後継者が取得した非上場株式等に係る贈与税・相続税を一定要件下で猶予・免除する制度。,FP2未出・中核外,過去問未出（範囲内の基礎語として B 維持）
介護保険（民間）,リスク管理,A,0,2,公的介護保険を補完する民間の保険。要介護認定や所定の状態になった際に給付される。,FP2未出・中核外,FP3過去問に2回（FP2未出）
任意後見制度,ライフプランニングと資金計画,B,0,0,将来の判断能力低下に備え、元気なうちに後見人と内容を契約しておく制度。,FP2未出・中核外,過去問未出（範囲内の基礎語として B 維持）
信用リスク,金融資産運用,B,0,0,債券の発行体や預金先金融機関が破綻し、元本・利息が回収できなくなるリスク。,FP2未出・中核外,過去問未出（範囲内の基礎語として B 維持）
個人事業税,タックスプランニング,B,0,0,一定の事業を営む個人に課される地方税。業種ごとに税率が異なる。,FP2未出・中核外,過去問未出（範囲内の基礎語として B 維持）
公的介護保険,ライフプランニングと資金計画,A,0,2,介護が必要な状態になった際に介護サービスの費用を給付する社会保険。40歳以上が加入。,FP2未出・中核外,FP3過去問に2回（FP2未出）
公的医療保険,ライフプランニングと資金計画,B,0,1,病気・けがの治療費を国民全体で負担し合う制度。健康保険・国民健康保険・後期高齢者医療制度などがある。,FP2未出・中核外,FP3過去問に1回（FP2未出）
公示地価,不動産,B,0,0,国土交通省が毎年1月1日時点の標準地の価格を公示したもの。一般の取引の指標となる。,FP2未出・中核外,過去問未出（範囲内の基礎語として B 維持）
利子所得,タックスプランニング,B,0,0,預金・債券の利子から生じる所得。原則として20.315%が源泉分離課税される。,FP2未出・中核外,過去問未出（範囲内の基礎語として B 維持）
区分所有法,不動産,A,0,6,マンション等の区分所有に関する法律。管理組合・規約・修繕等が試験論点。,FP2未出・中核外,FP3過去問に6回（FP2未出）
印紙税,不動産,B,0,0,契約書・領収書などの課税文書に課される国税。収入印紙を貼付して納付する。,FP2未出・中核外,過去問未出（範囲内の基礎語として B 維持）
可処分所得,ライフプランニングと資金計画,A,0,3,給与収入から所得税・住民税・社会保険料を差し引いた、実際に自由に使える手取り収入。,FP2未出・中核外,FP3過去問に3回（FP2未出）
告知義務,リスク管理,B,0,0,保険契約時に健康状態や職業など重要事項を正確に申告する義務。違反すると契約解除となる場合がある。,FP2未出・中核外,過去問未出（範囲内の基礎語として B 維持）
国民健康保険,ライフプランニングと資金計画,B,0,0,自営業者・フリーランス・無職者などが加入する公的医療保険。市区町村が運営する。,FP2未出・中核外,過去問未出（範囲内の基礎語として B 維持）
地震保険料控除,リスク管理,A,0,2,地震保険料を所得控除できる制度。年間5万円を上限に全額控除。,FP2未出・中核外,FP3過去問に2回（FP2未出）
基準価額,金融資産運用,A,0,5,投資信託の1口（または1万口）当たりの純資産価値。毎営業日算出される。,FP2未出・中核外,FP3過去問に5回（FP2未出）
寄附金控除,タックスプランニング,B,0,0,ふるさと納税などの寄附金を一定額まで所得控除または税額控除できる制度。,FP2未出・中核外,過去問未出（範囲内の基礎語として B 維持）
山林所得,タックスプランニング,A,0,3,山林の伐採・譲渡から生じる所得。5分5乗方式で計算する。,FP2未出・中核外,FP3過去問に3回（FP2未出）
後期高齢者医療制度,ライフプランニングと資金計画,B,0,0,75歳以上（一定の障害がある場合は65歳以上）を対象とした独立した医療保険制度。,FP2未出・中核外,過去問未出（範囲内の基礎語として B 維持）
成年後見制度,ライフプランニングと資金計画,B,0,0,判断能力が不十分な人の財産管理や法律行為を後見人が支援・代理する制度。,FP2未出・中核外,過去問未出（範囲内の基礎語として B 維持）
手付金,不動産,A,0,3,不動産売買契約時に買主が売主に支払う金銭。売主は倍返し、買主は放棄で解約できる。,FP2未出・中核外,FP3過去問に3回（FP2未出）
払済保険,リスク管理,B,0,0,保険料の払込を中止し、以後の保険料なしで保障を継続する方法。保険金額は減額される。,FP2未出・中核外,過去問未出（範囲内の基礎語として B 維持）
扶養控除,タックスプランニング,A,0,7,扶養している親族（16歳以上）がいる場合に受けられる控除。,FP2未出・中核外,FP3過去問に7回（FP2未出）
