question_no,type,category,tags,source_ref,diagram_id,stem,preamble,statement_a,statement_b,statement_c,statement_d,choice_1,choice_2,choice_3,choice_4,correct,explanation,explanation_summary,explanation_correct,explanation_choices,explanation_point
1,single,金融資産運用,FP2級;学科;実践演習;四答択;source:2025-gakka-28-v1,2025-gakka-28,,"Ａさんのポートフォリオにおける各資産の構成比および期待収益率が下記のとおりである場合、当該ポートフォリオの期待収益率は、 （   ）である。

預金　50％　期待収益率0.2％
債券　25％　期待収益率1.2％
株式　25％　期待収益率5.0％",,,,,,1.25％,1.65％,2.00％,2.50％,2,正解は2です。期待収益率は各資産の期待収益率を構成比で加重平均します。0.2％×50％＋1.2％×25％＋5.0％×25％＝0.1％＋0.3％＋1.25％＝1.65％です。,2025年学科第28問（ポートフォリオの期待収益率）をベースに、構成比と収益率だけ変更した演習です。,0.2×0.5＋1.2×0.25＋5.0×0.25＝1.65％。各資産の期待収益率に構成比を掛けて合計する加重平均です。,1:1.25％は株式25％×5.0％だけを採用した値など、一部の資産だけを合計した誤りです。ポートフォリオ全体では預金・債券・株式すべての加重平均を計算し、1.65％になります。;3:2.00％は単純平均（0.2＋1.2＋5.0）÷3など、構成比を無視した計算で生じやすい誤答です。本問は50％・25％・25％で加重するため、単純平均の2.07％とも一致しません。;4:2.50％は構成比を50％・50％と誤認した計算など、比率の取り違えで出やすい値です。預金50％・債券25％・株式25％を正しく掛け合わせると1.65％が正答になります。,期待収益率の加重平均は「収益率×構成比」の合計。構成比の合計が100％か確認してから計算しましょう。
2,single,金融資産運用,FP2級;学科;実践演習;四答択;source:2026-gakka-26-v1,2026-gakka-26,,"Ｙ社の株価が2,400円、１株当たり純利益が80円である場合、Ｙ社のＰＥＲ（株価収益率）は、 （   ）である。",,,,,,20倍,30倍,32倍,48倍,2,"正解は2です。PER＝株価÷１株当たり純利益です。2,400円÷80円＝30倍です。",2026年学科第26問（投資指標）をベースに、PERを直接計算する演習に整理した問題です。,"PER＝2,400円÷80円＝30倍。株価を１株当たり純利益で割ります。","1:20倍は2,400円÷120円など、純利益の数値を誤った場合の誤答です。本問の純利益は80円なので、2,400÷80＝30倍が正しい計算になります。;3:32倍は2,560円÷80円など、株価を誤って大きくした場合に近い値です。株価2,400円・純利益80円をそのまま割ると30倍であり、32倍にはなりません。;4:48倍は80円×30倍の逆算を株価に足した誤りなど、掛け算と割り算を混同した誤答です。PERは株価を純利益で割る指標であり、2,400÷80＝30倍です。",PER＝株価÷EPS。PBR（株価÷BPS）やROE（純利益÷純資産）と分母が異なるので取り違えに注意。
3,single,金融資産運用,FP2級;学科;実践演習;四答択;source:2026-gakka-26-v2,2026-gakka-26,,"Ｚ社の１株当たり純利益が96円、１株当たり純資産（自己資本）が1,200円である場合、Ｚ社のＲＯＥは、 （   ）である。",,,,,,5％,8％,10％,12％,2,"正解は2です。ROE＝１株当たり純利益÷１株当たり純資産×100です。96円÷1,200円×100＝8％です。",2026年学科第26問のROEをベースに、純利益と純資産だけ変更した演習です。,"ROE＝96÷1,200×100＝8％。分子は純利益、分母は自己資本（純資産）です。","1:5％は96円÷1,920円×100など、純資産を大きく取った誤計算で生じやすい値です。本問の純資産は1,200円なので、96÷1,200×100＝8％が正しい計算になります。;3:10％は純利益を120円と誤認した場合の値です。純利益96円・純資産1,200円を用いると8％となり、10％にはなりません。分母の純資産を確認してください。;4:12％は96円÷800円×100など、分母の純資産を小さくした誤りで出やすい値です。自己資本1,200円を分母に割るとROEは8％になります。株価ではなく純資産を使います。",ROEは「純利益÷純資産」。PERは株価を分母に使うため、文中に株価が出てもROEでは使いません。
4,single,タックスプランニング,FP2級;学科;実践演習;四答択;source:2026-gakka-32-v1,2026-gakka-32,,所得税における一時所得に係る総収入金額が300万円で、その収入を得るために支出した金額が80万円である場合、一時所得の金額は（ ① ）となり、そのうち総所得金額に算入される金額は（ ② ）となる。,,,,,,① 170万円   ②  85万円,① 220万円   ② 110万円,① 220万円   ② 220万円,① 250万円   ② 125万円,1,正解は1です。一時所得の金額＝300万円－80万円－特別控除50万円＝170万円。総所得金額への算入はその2分の1なので、85万円です。,学科の一時所得をベースに、収入・支出だけ変更した演習です。,一時所得＝300－80－50＝170万円。総所得算入は半額の85万円です。,2:①220万円②110万円は特別控除50万円を差し引かない誤りです。一時所得は必ず50万円控除後の金額を半分だけ総所得に算入するため、170万円・85万円が正答です。;3:①220万円②220万円は2分の1の算入を忘れた誤りです。一時所得の金額170万円のうち、総所得に入るのは半分の85万円であり、全額は算入されません。半分だけ算入します。;4:①250万円②125万円は支出80万円を差し引かない誤りで生じやすい値です。収入を得るための支出は必ず差し引いてから50万円控除を適用し、170万円・85万円と計算します。,一時所得は「収入－支出－50万円」。総所得への算入はその半分。50万円控除と2分の1の両方を忘れないこと。
5,single,相続・事業承継,FP2級;学科;実践演習;四答択;source:2026-gakka-58-v1,2026-gakka-58,,貸家建付地の相続税評価額は、その自用地としての価額が1億円、借地権割合が60％、借家権割合が30％、賃貸割合が100％である場合、 （   ）となる。,,,,,,"6,000万円","7,000万円","8,200万円",1億円,3,"正解は3です。1億円×(1－60％×30％×100％)＝1億円×82％＝8,200万円です。借地権・借家権・賃貸割合を掛け合わせてから控除します。",学科の貸家建付地評価をベースに、自用地価額だけ変更した演習です。,"1億円×(1－0.6×0.3×1)＝8,200万円。3つの割合を掛けて控除率18％を求めます。","1:6,000万円は1億円×60％など、借地権割合だけを控除した誤りです。貸家建付地では借家権割合と賃貸割合も掛け合わせ、0.6×0.3×1＝18％を控除します。;2:7,000万円は別の自用地価額や割合を混同した誤答で生じやすい値です。本問は自用地1億円に82％を掛け、8,200万円が評価額になります。過去問の数値をそのまま選ばないこと。;4:1億円は自用地のままの評価額で、貸家建付地としての減額を反映していません。賃貸部分に係る借地権・借家権の影響を控除し、8,200万円が正しい評価額です。自用地価額のままではありません。",貸家建付地＝自用地価額×(1－借地権×借家権×賃貸割合)。貸宅地（建物なし）の公式と混同しないこと。
6,single,ライフプランニングと資金計画,FP2級;学科;実践演習;四答択;source:2025-gakka-01-v1,2025-gakka-01,,"Ｃさんの可処分所得（年間）の金額は、下記の〈資料〉によれば、 （   ）である。

〈資料〉Ｃさんの年間収入等
給与収入　　： 880万円（給与所得 ： 650万円）
所得税・住民税 ：  70万円
社会保険料　 ： 100万円
生命保険料　 ：  12万円",,,,,,620万円,690万円,760万円,868万円,2,正解は2です。可処分所得＝給与収入－所得税・住民税－社会保険料です。880万円－70万円－100万円＝690万円。生命保険料12万円は差し引きません。,学科の可処分所得をベースに、収入・控除額だけ変更した演習です。,880－70－100＝690万円。給与所得650万円や生命保険料12万円はこの式に含めません。,1:620万円は生命保険料まで差し引いた値など、家計支出を控除に含めた誤りです。可処分所得は税と社会保険料のみを給与収入から引き、保険料は控除項目ではありません。;3:760万円は給与所得650万円をベースにした誤計算で生じやすい値です。本問は給与収入880万円から税70万円と社保100万円を引き、690万円になります。給与所得額は使いません。;4:868万円は880万円－12万円など、保険料だけを引いた誤りです。所得税・住民税と社会保険料の両方を引く必要があり、690万円が正答です。保険料は控除しません。,可処分所得＝給与収入－所得税・住民税－社会保険料。給与所得額は使わない。
7,single,金融資産運用,FP2級;学科;実践演習;四答択;source:2025-gakka-24-v1,2025-gakka-24,,表面利率（クーポンレート）3％、残存期間5年の固定利付債券を額面100円当たり98円で購入した場合の最終利回り（年率・単利）は、 （   ）である。なお、税金等は考慮しないものとし、計算結果は表示単位の小数点以下第３位を四捨五入している。,,,,,,3.00％,3.47％,3.50％,4.00％,2,正解は2です。{3％＋(100円－98円)÷5年}÷98円×100＝{3＋0.4}÷98×100≒3.469％、小数点以下第3位を四捨五入して3.47％です。,学科の債券最終利回りをベースに、購入価格と残存期間だけ変更した演習です。,{3＋(100－98)÷5}÷98×100≒3.469％→3.47％。償還差益を残存期間で按分し、表面利率に加えて購入価格で割ります。,1:3.00％は表面利率そのもので、購入価格が額面と異なる場合の償還差益を反映していません。ディスカウント購入では最終利回りは表面利率より高くなり、本問は3.47％です。;3:3.50％は償還差益の按分や四捨五入の段階を誤った場合に出やすい値です。式どおり計算すると3.469％となり、第3位四捨五入で3.47％になります。;4:4.00％は(100－98)÷98×100など、クーポンを加算しない誤りで生じやすい値です。表面利率3％に償還差益の年割を加え、購入価格98円で割る必要があります。,最終利回り＝{表面利率＋(100－購入価格)÷残存年数}÷購入価格×100。符号と四捨五入に注意。
8,single,金融資産運用,FP2級;学科;実践演習;四答択;source:2026-gakka-26-v3,2026-gakka-26,,"下記の〈Ｗ社のデータ〉に基づいて計算したＷ社の配当性向は（ ① ）、配当利回りは（ ② ）である。

〈Ｗ社のデータ〉
株価　　　　　： 2,000円
１株当たり年間配当金：　 40円
１株当たり純利益　： 200円",,,,,,① 20％   ②  2％,① 20％   ②  2.5％,① 25％   ②  2％,① 25％   ②  2.5％,1,"正解は1です。配当性向＝40円÷200円×100＝20％。配当利回り＝40円÷2,000円×100＝2％です。",2026年学科第26問付近の配当指標を、数値だけ変更した演習です。,"配当性向＝40÷200×100＝20％。配当利回り＝40÷2,000×100＝2％。①20％②2％です。","2:①20％②2.5％は配当性向は正しいが、利回りを40÷1,600などで計算した誤りです。利回りの分母は株価2,000円なので、40÷2,000×100＝2％が正しい組合せになります。;3:①25％②2％は配当性向を純利益160円で割るなど、分母の取り違えで生じやすい誤りです。配当性向の分母は純利益200円であり、40÷200×100＝20％です。;4:①25％②2.5％は性向・利回りとも分母を誤った組合せです。性向は純利益200円、利回りは株価2,000円を分母に使い、①20％②2％が正答です。",配当性向＝配当÷純利益、配当利回り＝配当÷株価。それぞれ分母が異なるので取り違えに注意。
9,single,タックスプランニング,FP2級;学科;実践演習;四答択;source:2026-gakka-16-v1,2026-gakka-16,,"給与所得者が22年間勤務した会社を定年退職し、退職金2,500万円の支給を受けた場合、所得税における退職所得の金額の計算上、退職所得控除額は（   ）となる。",,,,,,800万円＋40万円×(22年－20年)＝880万円,800万円＋70万円×(22年－20年)＝940万円,"70万円×22年＝1,540万円",40万円×22年＝880万円,2,正解は2です。勤続22年（20年超）なので、800万円＋70万円×(22－20)＝800万円＋140万円＝940万円です。,学科の退職所得控除をベースに、勤続年数だけ変更した演習です。,20年超は800万円＋70万円×(年数－20)。22年なら800＋70×2＝940万円です。,1:40万円を乗じる式は20年以下の勤続年数向けの計算です。本問は22年勤続なので、800万円＋70万円×(年数－20年)の公式を使います。20年超かどうかを先に確認してください。;3:70万円×22年は退職所得控除の公式ではありません。20年超は最低800万円に、超過年数×70万円を加算する形です。勤続年数に応じて式を切り替えます。;4:40万円×22年は20年以下向けの別公式です。22年勤続は20年超に該当するため、800万円＋70万円×2年＝940万円が正しい控除額です。40万円×年数は使いません。,退職所得控除：20年以下は40万円×年数（最低80万円）、20年超は800万円＋70万円×(年数－20)。
10,single,相続・事業承継,FP2級;学科;実践演習;四答択;source:2026-gakka-55-v1,2026-gakka-55,,相続税における遺産に係る基礎控除額を計算する場合、法定相続人が配偶者1人と子2人のとき、遺産に係る基礎控除額は、 （   ）である。,,,,,,"4,200万円","4,800万円","5,400万円","6,000万円",2,"正解は2です。法定相続人は3人（配偶者1＋子2）なので、3,000万円＋600万円×3人＝4,800万円です。",2026年学科第55問を、親族図なしの直接計算問題に整理した演習です。,"人数3人→3,000＋600×3＝4,800万円。配偶者と子2人を数えてから式に当てはめます。","1:4,200万円は法定相続人2人の場合の金額です。配偶者1人と子2人で合計3人なので、600万円×3を加算し4,800万円になります。人数を先に数えてください。;3:5,400万円は法定相続人4人の場合の金額です。本問は3人なので、3,000万円＋600万円×3＝4,800万円が正しい基礎控除額です。4人と数えていません。;4:6,000万円は5人を数えた場合や、養子の数え方を誤った場合に出やすい値です。配偶者1＋子2で3人を先に確定し、4,800万円と計算してください。金額から人数を逆算しないこと。","基礎控除＝3,000万＋600万×法定相続人の数。人数を先に数えてから金額を計算する。"
