term,category,tags,short_def,definition,related_terms,legal_basis,importance,explanation,article_title,article_lead,term_detail_body,exam_points,common_mistakes,memory_tip,example_question,example_answer,faq_1_question,faq_1_answer,faq_2_question,faq_2_answer,faq_3_question,faq_3_answer,faq_4_question,faq_4_answer,diagram_id,slug,author_name,reviewer_name,fact_checked_at,primary_sources,content_status
ライフイベント,ライフプランニングと資金計画,FP2級;用語,結婚・出産・住宅購入・子の進学・退職など、生涯で発生する主要な出来事。資金計画の基点となる。,結婚・出産・住宅購入・子の進学・退職など、生涯で発生する主要な出来事。資金計画の基点となる。,,,A,ライフイベントが出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではライフプランニングと資金計画分野の計算・制度理解とセットで確認してください。,,,,ライフイベントはライフプランニングと資金計画分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
キャッシュフロー表,ライフプランニングと資金計画,FP2級;用語,年ごとの収入・支出・貯蓄残高を一覧にした表。将来の資金不足を事前に把握するために使う。,年ごとの収入・支出・貯蓄残高を一覧にした表。将来の資金不足を事前に把握するために使う。,,,A,キャッシュフロー表が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではライフプランニングと資金計画分野の計算・制度理解とセットで確認してください。,,,,キャッシュフロー表はライフプランニングと資金計画分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
個人バランスシート,ライフプランニングと資金計画,FP2級;用語,ある時点の資産（持っているもの）と負債（借金）を対照させ、純資産を確認する表。,ある時点の資産（持っているもの）と負債（借金）を対照させ、純資産を確認する表。,,,B,個人バランスシートが出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではライフプランニングと資金計画分野の計算・制度理解とセットで確認してください。,,,,個人バランスシートはライフプランニングと資金計画分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
可処分所得,ライフプランニングと資金計画,FP2級;用語,給与収入から所得税・住民税・社会保険料を差し引いた、実際に自由に使える手取り収入。,給与収入から所得税・住民税・社会保険料を差し引いた、実際に自由に使える手取り収入。,,,A,可処分所得が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではライフプランニングと資金計画分野の計算・制度理解とセットで確認してください。,,,,可処分所得はライフプランニングと資金計画分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
6つの係数,ライフプランニングと資金計画,FP2級;用語,終価係数・現価係数・年金終価係数・年金現価係数・減債基金係数・資本回収係数の総称。将来の資産額や必要積立額の計算に使う。,終価係数・現価係数・年金終価係数・年金現価係数・減債基金係数・資本回収係数の総称。将来の資産額や必要積立額の計算に使う。,,,B,6つの係数が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではライフプランニングと資金計画分野の計算・制度理解とセットで確認してください。,,,,6つの係数はライフプランニングと資金計画分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
終価係数,ライフプランニングと資金計画,FP2級;用語,現在の元本を一定利率で複利運用したときの将来の金額を求める係数。,現在の元本を一定利率で複利運用したときの将来の金額を求める係数。,,,A,終価係数が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではライフプランニングと資金計画分野の計算・制度理解とセットで確認してください。,,,,終価係数はライフプランニングと資金計画分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
現価係数,ライフプランニングと資金計画,FP2級;用語,将来の目標金額を得るために必要な現在の元本を求める係数。,将来の一定額を現在価値に換算する係数（終価係数の逆数）。,,,A,現価係数が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではライフプランニングと資金計画分野の計算・制度理解とセットで確認してください。,,,,現価係数はライフプランニングと資金計画分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
年金終価係数,ライフプランニングと資金計画,FP2級;用語,毎年一定額を積み立てたときの将来の合計金額を求める係数。,毎年一定額を積み立てたときの将来の合計金額を求める係数。,,,A,年金終価係数が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではライフプランニングと資金計画分野の計算・制度理解とセットで確認してください。,,,,年金終価係数はライフプランニングと資金計画分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
年金現価係数,ライフプランニングと資金計画,FP2級;用語,毎年一定額を受け取るために必要な現在の元本を求める係数。,毎年一定額を受け取るために必要な現在の元本を求める係数。,,,A,年金現価係数が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではライフプランニングと資金計画分野の計算・制度理解とセットで確認してください。,,,,年金現価係数はライフプランニングと資金計画分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
減債基金係数,ライフプランニングと資金計画,FP2級;用語,将来の目標金額を得るために毎年必要な積立額を求める係数。,将来の目標額に達するために毎期必要な積立額を求める係数。,,,A,減債基金係数が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではライフプランニングと資金計画分野の計算・制度理解とセットで確認してください。,,,,減債基金係数はライフプランニングと資金計画分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
