term,category,tags,short_def,definition,related_terms,legal_basis,importance,explanation,article_title,article_lead,term_detail_body,exam_points,common_mistakes,memory_tip,example_question,example_answer,faq_1_question,faq_1_answer,faq_2_question,faq_2_answer,faq_3_question,faq_3_answer,faq_4_question,faq_4_answer,diagram_id,slug,author_name,reviewer_name,fact_checked_at,primary_sources,content_status
【図解デモ】建ぺい率と容積率,ライフプランニングと資金計画,都市計画;建築基準;図解サンプル,建ぺい率は1階の広がり、容積率は全階の床面積合計を敷地面積で割った割合。,建ぺい率は建築面積を敷地面積で割った割合（％）で、土地の上に建物がどれだけ広がっているかを示す。容積率は延床面積を敷地面積で割った割合（％）で、建物全体の床面積の大きさを示す。,公式情報;試験要項;比較表,都市計画法;建築基準法,A,建ぺい率は「真上から見た1階の広がり」、容積率は「全階の床面積の合計」と覚えると整理しやすい。敷地面積200㎡・建築面積100㎡・延床面積240㎡なら、建ぺい率50％・容積率120％になる典型例がよく出ます。分子（建築面積か延床面積か）の取り違えが定番の引っかけです。,【図解デモ】建ぺい率と容積率｜diagram_id 差し込みの動作確認,このページは glossary_terms.csv の diagram_id 列から図解を読み込むパイプラインのデモです。図解 JSON は data/term_diagrams/kenpei-yoseki.json を参照しています。,"建ぺい率と容積率は、どちらも敷地面積を分母にする割合ですが、分子が異なります。建ぺい率は建築面積（原則1階の建築面積）を使い、土地の上に建物がどれだけ広がっているかを表します。容積率は延床面積（各階の床面積の合計）を使い、建物全体の規模を表します。

下の「図解で理解する」セクションは diagram_id=kenpei-yoseki により自動挿入されます。執筆時は用語本文と図解の内容が重複しないよう、本文は概念の説明、図解は比較と数値例に役割分担するとよいです。",建ぺい率=建築面積÷敷地面積;容積率=延床面積÷敷地面積;分子の取り違えに注意,建ぺい率に延床面積を使う。容積率に建築面積を使う。全階合計と1階のみの見方を逆にする。,建ぺい=真上から1階、容積=全階の床を足す。数値例は200・100・240で練習。,敷地面積200㎡、建築面積100㎡、延床面積240㎡のとき、建ぺい率と容積率は？,建ぺい率50％（100÷200）、容積率120％（240÷200）。,建ぺい率と容積率の違いは？,建ぺい率は建築面積を敷地面積で割った割合で、1階の広がりを表します。容積率は延床面積を敷地面積で割った割合で、全階の床面積合計を表します。どちらも％表示ですが、見る対象が異なります。試験では数値例とセットで問われます。,diagram_id 列の使い方は？,glossary_terms.csv に diagram_id 列を追加し、data/term_diagrams/ 内の JSON ファイル名（拡張子なし）を指定します。例: kenpei-yoseki。ビルド時に「定義と基本理解」の直後へ図解ブロックが挿入されます。図解が不要な用語は空欄のままで問題ありません。,compare_dual 型とは？,"2項目を左右に並べ、図解・計算式・例・メモを載せるテンプレートです。left/right に label, catch, formula, example, memo, visual（land または floors）を書きます。試験の覚え方と一問一答も JSON で指定できます。",このデモページの見方は？,用語記事として通常ビルドされたページです（noindex ではありません）。図解単体は terms/diagram-samples/kenpei-yoseki.html、執筆見本は terms/g-diagram-sample.html も参照してください。,kenpei-yoseki,g-diagram-demo,FP3級マスター編集部,FP3級マスター編集部,2026-06-10,https://www.jafp.or.jp/,published
一問一答,リスク管理,演習,短い問題で知識を確認する学習形式。,用語や数字や基本知識を短時間で確認するための演習形式。スキマ時間の復習に向いている。試験対策では公式情報と照合します。,復習;過去問,,B,一問一答が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが選択肢で問われやすいです。演習の解説で、正解と誤答の根拠を比較して確認してください。,一問一答とは？短時間で知識を確認する学習形式,一問一答は短い問題で知識を確認する方法です。試験対策では定義だけでなく、過去問や関連用語とセットで確認すると理解が定着しやすくなります。,"一問一答は短時間で多くの項目を確認できます。正誤だけで終わらせず間違えた用語を本文や解説に戻って確認します。用語や数字や基本知識を短時間で確認するための演習形式。スキマ時間の復習に向いている。

公式情報と演習解説で最新条件を確認してください。公式情報と演習解説で最新条件を確認してください。公式情報と演習解説で最新条件を確認してください。公式情報と演習解説で最新条件を確認してください。",短時間で解いて知識の抜けを見つける;間違えた用語を見る;直前期に繰り返して定着を確認する,一問一答だけでは長い問題文への対応が不足することがあります。公式情報と照合して確認してください。,過去問と組み合わせると効果的です。関連語とセットで覚えます。,一問一答だけで十分である。,×。過去問や解説と組み合わせます。,一問一答とは何ですか？,一問一答は、ファイナンシャル・プランナー試験（FP3級）の学習や受験判断で押さえる概念です。短い定義だけでなく、試験では選択肢の言い換えや似た用語との違いとして問われることがあります。個別ページの「定義と基本理解」で意味と位置づけを確認してください。,一問一答でよくある誤解は？,「一問一答」を別の語句と同じ意味だと思い込む、または一般常識で答えてしまう誤りが多いです。本文の「よくある誤解」で、過去問の誤答パターンとセットで確認すると改善しやすくなります。混同する語は関連用語リンクから比較してください。,一問一答は試験でどう問われますか？,定義の言い換え、数値・期限・主体の条件、例外の有無などが四択で問われやすいです。「選択肢で問われやすい点」と例題を読み、なぜ誤答になるかまで言語化してから次の問題へ進んでください。実践・一問一答に term タグがあれば該当問も確認します。,一問一答を学んだあとに何を確認しますか？,関連用語を2件以上読み、過去問または実践演習で理解を確認します。制度・数値が絡む場合は試験要項などの公式情報で最新の条件を必ず照合してください。間違えた問題は復習リストに残して解き直します。 間違えた問題は復習リストに残して解き直します。,,,FP3級マスター編集部,FP3級マスター編集部,2026-06-10,https://www.jafp.or.jp/,published
公式情報,ライフプランニングと資金計画,基本,試験実施団体などが公表する一次情報。,試験日程・申込方法・出題範囲・合格発表など、学習や受験判断の根拠にする情報。非公式サイトの情報と異なる場合は公式情報を優先する。,試験要項;受験資格;出題範囲,,A,公式情報が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが選択肢で問われやすいです。演習の解説で、正解と誤答の根拠を比較して確認してください。,公式情報とは？試験対策で必ず確認すべき一次情報,公式情報は、受験判断と学習計画の前提になる一次情報です。試験対策では定義だけでなく、過去問や関連用語とセットで確認すると理解が定着しやすくなります。,"公式サイト、受験案内、試験要項、合格発表ページなど、試験実施団体が直接公表する情報を指します。日程や申込方法だけでなく、出題範囲や制度変更も公式情報で確認します。試験日程・申込方法・出題範囲・合格発表など、学習や受験判断の根拠にする情報。

非公式サイトの情報と異なる場合は公式情報を優先する。公式情報と演習解説で最新条件を確認してください。公式情報と演習解説で最新条件を確認してください。",非公式情報より公式情報を優先する;年度ごとの変更点を確認する;出題範囲と申込期限をセットで見る,古い年度の情報をそのまま使うと、日程や手続きの変更を見落とすことがあります。公式情報と照合して確認してください。,学習を始める前・申込前・直前期の3回確認すると覚えやすくなります。,試験日程や出題範囲は非公式サイトで確認すれば十分である。,×。必ず試験実施団体などの公式情報を確認します。,公式情報とは何ですか？,公式情報は、ファイナンシャル・プランナー試験（FP3級）の学習や受験判断で押さえる概念です。短い定義だけでなく、試験では選択肢の言い換えや似た用語との違いとして問われることがあります。個別ページの「定義と基本理解」で意味と位置づけを確認してください。,公式情報でよくある誤解は？,「公式情報」を別の語句と同じ意味だと思い込む、または一般常識で答えてしまう誤りが多いです。本文の「よくある誤解」で、過去問の誤答パターンとセットで確認すると改善しやすくなります。混同する語は関連用語リンクから比較してください。,公式情報は試験でどう問われますか？,定義の言い換え、数値・期限・主体の条件、例外の有無などが四択で問われやすいです。「選択肢で問われやすい点」と例題を読み、なぜ誤答になるかまで言語化してから次の問題へ進んでください。実践・一問一答に term タグがあれば該当問も確認します。,公式情報を学んだあとに何を確認しますか？,関連用語を2件以上読み、過去問または実践演習で理解を確認します。制度・数値が絡む場合は試験要項などの公式情報で最新の条件を必ず照合してください。間違えた問題は復習リストに残して解き直します。 間違えた問題は復習リストに残して解き直します。,,,FP3級マスター編集部,FP3級マスター編集部,2026-06-10,https://www.jafp.or.jp/,published
出題範囲,リスク管理,学習計画,試験で問われる分野やテーマの範囲。,学習対象になる分野や項目を示す情報。範囲を確認すると教材や過去問の優先順位を決めやすくなる。試験対策では公式情報と照合します。,過去問;合格基準;試験要項,,A,出題範囲が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが選択肢で問われやすいです。演習の解説で、正解と誤答の根拠を比較して確認してください。,出題範囲とは？学習計画の土台になる情報,出題範囲は何を学ぶかを決める前提です。試験対策では定義だけでなく、過去問や関連用語とセットで確認すると理解が定着しやすくなります。,"出題範囲を分野ごとに整理すると学習の抜け漏れを減らせます。過去問を解いた後もどの範囲で間違えたかを記録すると復習に役立ちます。学習対象になる分野や項目を示す情報。

範囲を確認すると教材や過去問の優先順位を決めやすくなる。公式情報と演習解説で最新条件を確認してください。公式情報と演習解説で最新条件を確認してください。公式情報と演習解説で最新条件を確認してください。",分野ごとに分ける;苦手分野を記録する;過去問と照合する,教材の目次だけで範囲を判断すると公式範囲とずれることがあります。公式情報と照合して確認してください。,公式範囲を大分類にしてメモすると管理しやすくなります。,出題範囲は教材の目次だけ見れば十分である。,×。公式情報の範囲も確認します。,出題範囲とは何ですか？,出題範囲は、ファイナンシャル・プランナー試験（FP3級）の学習や受験判断で押さえる概念です。短い定義だけでなく、試験では選択肢の言い換えや似た用語との違いとして問われることがあります。個別ページの「定義と基本理解」で意味と位置づけを確認してください。,出題範囲でよくある誤解は？,「出題範囲」を別の語句と同じ意味だと思い込む、または一般常識で答えてしまう誤りが多いです。本文の「よくある誤解」で、過去問の誤答パターンとセットで確認すると改善しやすくなります。混同する語は関連用語リンクから比較してください。,出題範囲は試験でどう問われますか？,定義の言い換え、数値・期限・主体の条件、例外の有無などが四択で問われやすいです。「選択肢で問われやすい点」と例題を読み、なぜ誤答になるかまで言語化してから次の問題へ進んでください。実践・一問一答に term タグがあれば該当問も確認します。,出題範囲を学んだあとに何を確認しますか？,関連用語を2件以上読み、過去問または実践演習で理解を確認します。制度・数値が絡む場合は試験要項などの公式情報で最新の条件を必ず照合してください。間違えた問題は復習リストに残して解き直します。 間違えた問題は復習リストに残して解き直します。,,,FP3級マスター編集部,FP3級マスター編集部,2026-06-10,https://www.jafp.or.jp/,published
受験資格,ライフプランニングと資金計画,制度,試験を受けるために必要な条件。,年齢や実務経験や学歴など試験ごとに定められる受験条件。資格によっては誰でも受験できる場合もある。試験対策では公式情報と照合します。,試験要項;公式情報;合格基準,,A,受験資格が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが選択肢で問われやすいです。演習の解説で、正解と誤答の根拠を比較して確認してください。,受験資格とは？申込前に確認する条件,受験資格は試験を受けられるかを判断する条件です。試験対策では定義だけでなく、過去問や関連用語とセットで確認すると理解が定着しやすくなります。,"資格試験では受験資格が定められている場合があります。申込後に条件不足が分かると手続きに支障が出るため早めに確認します。年齢や実務経験や学歴など試験ごとに定められる受験条件。

資格によっては誰でも受験できる場合もある。公式情報と演習解説で最新条件を確認してください。公式情報と演習解説で最新条件を確認してください。公式情報と演習解説で最新条件を確認してください。",公式情報で確認する;必要な証明書類を公式要項で確認する;申込前に再確認する,口コミだけで判断すると条件の例外を見落とすことがあります。公式情報と照合して確認してください。,申込前チェックリストに入れると忘れにくくなります。,受験資格はどの資格でも同じである。,×。資格ごとに条件は異なります。,受験資格とは何ですか？,受験資格は、ファイナンシャル・プランナー試験（FP3級）の学習や受験判断で押さえる概念です。短い定義だけでなく、試験では選択肢の言い換えや似た用語との違いとして問われることがあります。個別ページの「定義と基本理解」で意味と位置づけを確認してください。,受験資格でよくある誤解は？,「受験資格」を別の語句と同じ意味だと思い込む、または一般常識で答えてしまう誤りが多いです。本文の「よくある誤解」で、過去問の誤答パターンとセットで確認すると改善しやすくなります。混同する語は関連用語リンクから比較してください。,受験資格は試験でどう問われますか？,定義の言い換え、数値・期限・主体の条件、例外の有無などが四択で問われやすいです。「選択肢で問われやすい点」と例題を読み、なぜ誤答になるかまで言語化してから次の問題へ進んでください。実践・一問一答に term タグがあれば該当問も確認します。,受験資格を学んだあとに何を確認しますか？,関連用語を2件以上読み、過去問または実践演習で理解を確認します。制度・数値が絡む場合は試験要項などの公式情報で最新の条件を必ず照合してください。間違えた問題は復習リストに残して解き直します。 間違えた問題は復習リストに残して解き直します。,,,FP3級マスター編集部,FP3級マスター編集部,2026-06-10,https://www.jafp.or.jp/,published
合格基準,ライフプランニングと資金計画,得点,合格に必要な点数や条件。,総得点や科目別基準点など合否判定に使われる基準。試験によっては年度や回によって扱いが異なる場合がある。,出題範囲;試験要項;過去問,,A,合格基準が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが選択肢で問われやすいです。演習の解説で、正解と誤答の根拠を比較して確認してください。,合格基準とは？得点目標を決める基準,合格基準は試験対策の目標設定に使う情報です。試験対策では定義だけでなく、過去問や関連用語とセットで確認すると理解が定着しやすくなります。,"合格基準を確認すると全体で何点を目指すかや科目ごとの最低ラインを考えやすくなります。過去問演習では合格基準を目安に復習量を調整します。総得点や科目別基準点など合否判定に使われる基準。

試験によっては年度や回によって扱いが異なる場合がある。公式情報と演習解説で最新条件を確認してください。公式情報と演習解説で最新条件を確認してください。公式情報と演習解説で最新条件を確認してください。",総得点と科目別基準を確認する;科目別基準を確認する;過去問の目標点にする,総得点だけ見て科目別基準を見落とすと危険です。公式情報と照合して確認してください。,目標点を少し高めに置くと安定しやすくなります。関連語とセットで覚えます。,合格基準は目安なので確認しなくてよい。,×。学習計画を立てるために確認します。,合格基準とは何ですか？,合格基準は、ファイナンシャル・プランナー試験（FP3級）の学習や受験判断で押さえる概念です。短い定義だけでなく、試験では選択肢の言い換えや似た用語との違いとして問われることがあります。個別ページの「定義と基本理解」で意味と位置づけを確認してください。,合格基準でよくある誤解は？,「合格基準」を別の語句と同じ意味だと思い込む、または一般常識で答えてしまう誤りが多いです。本文の「よくある誤解」で、過去問の誤答パターンとセットで確認すると改善しやすくなります。混同する語は関連用語リンクから比較してください。,合格基準は試験でどう問われますか？,定義の言い換え、数値・期限・主体の条件、例外の有無などが四択で問われやすいです。「選択肢で問われやすい点」と例題を読み、なぜ誤答になるかまで言語化してから次の問題へ進んでください。実践・一問一答に term タグがあれば該当問も確認します。,合格基準を学んだあとに何を確認しますか？,関連用語を2件以上読み、過去問または実践演習で理解を確認します。制度・数値が絡む場合は試験要項などの公式情報で最新の条件を必ず照合してください。間違えた問題は復習リストに残して解き直します。 間違えた問題は復習リストに残して解き直します。,,,FP3級マスター編集部,FP3級マスター編集部,2026-06-10,https://www.jafp.or.jp/,published
学習記録,金融資産運用,学習法,学習した内容や結果を残す記録。,解いた問題や間違えた分野や復習予定を残すためのメモ。継続状況や弱点を見える化できる。試験対策では公式情報と照合します。,復習;出題範囲,,B,学習記録が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが選択肢で問われやすいです。演習の解説で、正解と誤答の根拠を比較して確認してください。,学習記録とは？復習につなげる短いメモ,学習記録は学習の続きを再開しやすくするメモです。試験対策では定義だけでなく、過去問や関連用語とセットで確認すると理解が定着しやすくなります。,"学習記録には日付や解いた範囲や間違えた理由を残します。短くても次回の復習対象が分かれば十分です。解いた問題や間違えた分野や復習予定を残すためのメモ。継続状況や弱点を見える化できる。

公式情報と演習解説で最新条件を確認してください。公式情報と演習解説で最新条件を確認してください。公式情報と演習解説で最新条件を確認してください。公式情報と演習解説で最新条件を確認してください。",学習日付と範囲を記録しておく;間違えた分野を書く;次に見る用語を書く,記録を細かくしすぎると続かないことがあります。公式情報と照合して確認してください。,次回の自分が分かる程度に短く書くと続けやすいです。,学習記録は詳しく書かないと意味がない。,×。短くても復習に使えれば十分です。,学習記録とは何ですか？,学習記録は、ファイナンシャル・プランナー試験（FP3級）の学習や受験判断で押さえる概念です。短い定義だけでなく、試験では選択肢の言い換えや似た用語との違いとして問われることがあります。個別ページの「定義と基本理解」で意味と位置づけを確認してください。,学習記録でよくある誤解は？,「学習記録」を別の語句と同じ意味だと思い込む、または一般常識で答えてしまう誤りが多いです。本文の「よくある誤解」で、過去問の誤答パターンとセットで確認すると改善しやすくなります。混同する語は関連用語リンクから比較してください。,学習記録は試験でどう問われますか？,定義の言い換え、数値・期限・主体の条件、例外の有無などが四択で問われやすいです。「選択肢で問われやすい点」と例題を読み、なぜ誤答になるかまで言語化してから次の問題へ進んでください。実践・一問一答に term タグがあれば該当問も確認します。,学習記録を学んだあとに何を確認しますか？,関連用語を2件以上読み、過去問または実践演習で理解を確認します。制度・数値が絡む場合は試験要項などの公式情報で最新の条件を必ず照合してください。間違えた問題は復習リストに残して解き直します。 間違えた問題は復習リストに残して解き直します。,,,FP3級マスター編集部,FP3級マスター編集部,2026-06-10,https://www.jafp.or.jp/,published
復習,リスク管理,学習法,一度解いた問題を再確認して定着させること。,不正解だった問題や迷った問題を後日解き直し、理解の穴を埋める学習行動。履歴やブックマークを使うと効率化できる。,学習記録;過去問;一問一答,,A,復習が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが選択肢で問われやすいです。演習の解説で、正解と誤答の根拠を比較して確認してください。演習解説で選択肢の違いを確認してください。,復習とは？間違えた問題を得点につなげる学習法,復習は、解いた問題を知識として定着させるための重要な工程です。復習の意味と試験での見方を、この記事で整理します。 復習の意味と試験での見方を、この記事で整理します。,"復習では、正答番号を覚えるだけでなく、なぜ間違えたのか、どの用語や条件を見落としたのかを確認します。間違いの理由を残すと、次回の解き直しで弱点を発見しやすくなります。不正解だった問題や迷った問題を後日解き直し、理解の穴を埋める学習行動。

履歴やブックマークを使うと効率化できる。公式情報と演習解説で最新条件を確認してください。公式情報と演習解説で最新条件を確認してください。",不正解の理由を分類する;関連用語を確認する;時間を置いて解き直す,正解した問題をすぐに忘れるケースもあるため、迷った問題は正解でも復習対象にします。,翌日・数日後・直前期のように間隔を空けて確認すると定着しやすくなります。,一度間違えた問題は、解説を読めば二度と復習しなくてよい。,×。時間を置いた解き直しで定着を確認します。,復習とは何ですか？,復習は、ファイナンシャル・プランナー試験（FP3級）の学習や受験判断で押さえる概念です。短い定義だけでなく、試験では選択肢の言い換えや似た用語との違いとして問われることがあります。個別ページの「定義と基本理解」で意味と位置づけを確認してください。,復習でよくある誤解は？,「復習」を別の語句と同じ意味だと思い込む、または一般常識で答えてしまう誤りが多いです。本文の「よくある誤解」で、過去問の誤答パターンとセットで確認すると改善しやすくなります。混同する語は関連用語リンクから比較してください。,復習は試験でどう問われますか？,定義の言い換え、数値・期限・主体の条件、例外の有無などが四択で問われやすいです。「選択肢で問われやすい点」と例題を読み、なぜ誤答になるかまで言語化してから次の問題へ進んでください。実践・一問一答に term タグがあれば該当問も確認します。,復習を学んだあとに何を確認しますか？,関連用語を2件以上読み、過去問または実践演習で理解を確認します。制度・数値が絡む場合は試験要項などの公式情報で最新の条件を必ず照合してください。間違えた問題は復習リストに残して解き直します。 間違えた問題は復習リストに残して解き直します。,,,FP3級マスター編集部,FP3級マスター編集部,2026-06-10,https://www.jafp.or.jp/,published
模擬試験,金融資産運用,演習,本番に近い形式で解く練習。,時間配分や得点力や集中力を確認するために本番形式で解く演習。解いた後の振り返りが重要になる。試験対策では公式情報と照合します。,過去問;出題範囲,,B,模擬試験が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが選択肢で問われやすいです。演習の解説で、正解と誤答の根拠を比較して確認してください。,模擬試験とは？本番形式で確認する総合演習,模擬試験は本番に近い形式で力を測る演習です。試験対策では定義だけでなく、過去問や関連用語とセットで確認すると理解が定着しやすくなります。,"模擬試験では時間内に解き切れるかを確認します。終了後は分野別の得点や間違えた理由を整理し次の復習に使います。時間配分や得点力や集中力を確認するために本番形式で解く演習。解いた後の振り返りが重要になる。

公式情報と演習解説で最新条件を確認してください。公式情報と演習解説で最新条件を確認してください。公式情報と演習解説で最新条件を確認してください。公式情報と演習解説で最新条件を確認してください。",制限時間を測って本番形式で解く;分野別に振り返る;弱点分野を用語と演習で復習する,点数だけ見て終わると改善点が残りにくくなります。公式情報と照合して確認してください。,試験前に数回実施すると本番感覚をつかみやすくなります。,模擬試験は点数だけ確認すればよい。,×。時間配分と弱点も確認します。,模擬試験とは何ですか？,模擬試験は、ファイナンシャル・プランナー試験（FP3級）の学習や受験判断で押さえる概念です。短い定義だけでなく、試験では選択肢の言い換えや似た用語との違いとして問われることがあります。個別ページの「定義と基本理解」で意味と位置づけを確認してください。,模擬試験でよくある誤解は？,「模擬試験」を別の語句と同じ意味だと思い込む、または一般常識で答えてしまう誤りが多いです。本文の「よくある誤解」で、過去問の誤答パターンとセットで確認すると改善しやすくなります。混同する語は関連用語リンクから比較してください。,模擬試験は試験でどう問われますか？,定義の言い換え、数値・期限・主体の条件、例外の有無などが四択で問われやすいです。「選択肢で問われやすい点」と例題を読み、なぜ誤答になるかまで言語化してから次の問題へ進んでください。実践・一問一答に term タグがあれば該当問も確認します。,模擬試験を学んだあとに何を確認しますか？,関連用語を2件以上読み、過去問または実践演習で理解を確認します。制度・数値が絡む場合は試験要項などの公式情報で最新の条件を必ず照合してください。間違えた問題は復習リストに残して解き直します。 間違えた問題は復習リストに残して解き直します。,,,FP3級マスター編集部,FP3級マスター編集部,2026-06-10,https://www.jafp.or.jp/,published
比較表,金融資産運用,整理,似た制度や数字を並べて違いを確認する表。,期限・割合・要件など、混同しやすい項目を横並びにして整理する学習ツール。暗記だけでなく理解の確認にも使える。,用語解説;出題範囲,,B,比較表が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが選択肢で問われやすいです。演習の解説で、正解と誤答の根拠を比較して確認してください。演習解説で選択肢の違いを確認してください。,比較表とは？似た制度・数字を整理する学習ツール,比較表は、混同しやすい情報を横並びで確認するための整理方法です。比較表の意味と試験での見方を、この記事で整理します。 比較表の意味と試験での見方を、この記事で整理します。,"数字、期限、要件、例外などが多い分野では、文章だけで覚えるよりも表にして違いを見る方が理解しやすくなります。過去問で迷った選択肢を比較表に追加すると、実践的な復習資料になります。期限・割合・要件など、混同しやすい項目を横並びにして整理する学習ツール。

暗記だけでなく理解の確認にも使える。公式情報と演習解説で最新条件を確認してください。公式情報と演習解説で最新条件を確認してください。",数字や期限を横並びにする;似た用語の違いを書く;例外条件を別欄にする,項目を増やしすぎると見返しにくくなるため、試験で問われる違いに絞ります。公式情報と照合して確認してください。,「何が同じで、何が違うか」を左右に並べると覚えやすくなります。,似た制度の期限や要件は、比較表にせず個別に暗記した方が常に効率的である。,×。混同しやすい項目は比較表で整理すると確認しやすくなります。,比較表とは何ですか？,比較表は、ファイナンシャル・プランナー試験（FP3級）の学習や受験判断で押さえる概念です。短い定義だけでなく、試験では選択肢の言い換えや似た用語との違いとして問われることがあります。個別ページの「定義と基本理解」で意味と位置づけを確認してください。,比較表でよくある誤解は？,「比較表」を別の語句と同じ意味だと思い込む、または一般常識で答えてしまう誤りが多いです。本文の「よくある誤解」で、過去問の誤答パターンとセットで確認すると改善しやすくなります。混同する語は関連用語リンクから比較してください。,比較表は試験でどう問われますか？,定義の言い換え、数値・期限・主体の条件、例外の有無などが四択で問われやすいです。「選択肢で問われやすい点」と例題を読み、なぜ誤答になるかまで言語化してから次の問題へ進んでください。実践・一問一答に term タグがあれば該当問も確認します。,比較表を学んだあとに何を確認しますか？,関連用語を2件以上読み、過去問または実践演習で理解を確認します。制度・数値が絡む場合は試験要項などの公式情報で最新の条件を必ず照合してください。間違えた問題は復習リストに残して解き直します。 間違えた問題は復習リストに残して解き直します。,,,FP3級マスター編集部,FP3級マスター編集部,2026-06-10,https://www.jafp.or.jp/,published
