term,category,short_def
ライフプランニング,ライフプランニングと資金計画,個人や家族の生涯における収支・資産・リスクを時系列で整理し、目標達成に向けた計画を立てること。
ライフイベント,ライフプランニングと資金計画,結婚・出産・住宅購入・子の進学・退職など、生涯で発生する主要な出来事。資金計画の基点となる。
キャッシュフロー表,ライフプランニングと資金計画,年ごとの収入・支出・貯蓄残高を一覧にした表。将来の資金不足を事前に把握するために使う。
個人バランスシート,ライフプランニングと資金計画,ある時点の資産（持っているもの）と負債（借金）を対照させ、純資産を確認する表。
可処分所得,ライフプランニングと資金計画,給与収入から所得税・住民税・社会保険料を差し引いた、実際に自由に使える手取り収入。
6つの係数,ライフプランニングと資金計画,終価係数・現価係数・年金終価係数・年金現価係数・減債基金係数・資本回収係数の総称。将来の資産額や必要積立額の計算に使う。
終価係数,ライフプランニングと資金計画,現在の元本を一定利率で複利運用したときの将来の金額を求める係数。
現価係数,ライフプランニングと資金計画,将来の目標金額を得るために必要な現在の元本を求める係数。
年金終価係数,ライフプランニングと資金計画,毎年一定額を積み立てたときの将来の合計金額を求める係数。
年金現価係数,ライフプランニングと資金計画,毎年一定額を受け取るために必要な現在の元本を求める係数。
減債基金係数,ライフプランニングと資金計画,将来の目標金額を得るために毎年必要な積立額を求める係数。
資本回収係数,ライフプランニングと資金計画,現在の元本を一定期間で均等回収するための毎年の受取額を求める係数。
公的医療保険,ライフプランニングと資金計画,病気・けがの治療費を国民全体で負担し合う制度。健康保険・国民健康保険・後期高齢者医療制度などがある。
健康保険,ライフプランニングと資金計画,主に会社員とその扶養家族が加入する公的医療保険。保険料は労使折半。
国民健康保険,ライフプランニングと資金計画,自営業者・フリーランス・無職者などが加入する公的医療保険。市区町村が運営する。
後期高齢者医療制度,ライフプランニングと資金計画,75歳以上（一定の障害がある場合は65歳以上）を対象とした独立した医療保険制度。
高額療養費制度,ライフプランニングと資金計画,1か月の医療費の自己負担額が一定の上限を超えた場合に、超過分が払い戻される制度。
傷病手当金,ライフプランニングと資金計画,健康保険の被保険者が病気・けがで連続3日以上休業した場合に、4日目から最長1年6か月支給される給付金。
出産育児一時金,ライフプランニングと資金計画,健康保険の被保険者が出産した際に支給される一時金。原則50万円。
